id,name,duration,popularity,explicit,lead_artist_id,lead_artist_name,album_id,album_name,album_art_link,played_at
0iuw46yPICEkKvraBiMdzO,Alien at Home,192759,20,False,5fADvRnm2DgVChh8O5nMpC,Ignis Brothers,5gjJ679OOfPCE1Kh9dckec,The Cost of Our Lives,https://i.scdn.co/image/ab67616d00001e0227b8470985bb498d4fd8cee3,2023-07-24 20:48:54.434
5utqjMBCESYlKtZguqsmp4,Sand and Shells,144273,15,False,5fADvRnm2DgVChh8O5nMpC,Ignis Brothers,5gjJ679OOfPCE1Kh9dckec,The Cost of Our Lives,https://i.scdn.co/image/ab67616d00001e0227b8470985bb498d4fd8cee3,2023-07-24 20:51:18.244
2AXlNjFNPM3y5LReXYwdIh,To Fly,154281,13,False,5fADvRnm2DgVChh8O5nMpC,Ignis Brothers,5gjJ679OOfPCE1Kh9dckec,The Cost of Our Lives,https://i.scdn.co/image/ab67616d00001e0227b8470985bb498d4fd8cee3,2023-07-24 20:53:52.595
0M9N9JWg7TpL1rSeuFDkWd,For You,199390,11,False,5fADvRnm2DgVChh8O5nMpC,Ignis Brothers,5gjJ679OOfPCE1Kh9dckec,The Cost of Our Lives,https://i.scdn.co/image/ab67616d00001e0227b8470985bb498d4fd8cee3,2023-07-24 20:57:12.541
2nxszqPOiiGeBxOiKz7cpz,I Lied,190225,12,False,5fADvRnm2DgVChh8O5nMpC,Ignis Brothers,5gjJ679OOfPCE1Kh9dckec,The Cost of Our Lives,https://i.scdn.co/image/ab67616d00001e0227b8470985bb498d4fd8cee3,2023-07-24 20:57:59.159
6Ab10FzxzcBBrSzYCgdhl0,Coco,285059,47,False,2sEUjEtnqBphiYquoNfV62,Gabzy,7BApeLlOB84GdmrVjEYRvY,Coco,https://i.scdn.co/image/ab67616d00001e02dfe9d11a874d1c159cda92be,2023-07-25 20:00:49.512
4uIr0EKmbKiBBuTdEaO6mM,Chasing Wind,218412,41,False,4iYJ88IcQS4GFqLqWGE5yx,Tim Lyre,1jqwJofD3wFz2drsplzRwY,Chasing Wind,https://i.scdn.co/image/ab67616d00001e0267c9c7af8d9532adcf9c440b,2023-07-28 15:03:30.424
1CbhFk1ayCQqg9AxgPjDCF,Us,166493,0,True,2meqc0ogaVLYfKIkUImoGW,Br3nya,36vRBOExGT1fT7DQbjAEf8,Us,https://i.scdn.co/image/ab67616d00001e026652f7a632e7c048994aeb46,2023-07-28 15:06:28.459
4FW5bi4wZqMY6cAlVAWGTB,Jambazz,139573,61,False,2sEUjEtnqBphiYquoNfV62,Gabzy,5ga030ura8BLMtslCr8Lol,Jambazz,https://i.scdn.co/image/ab67616d00001e02987a133a2e044997a818620b,2023-07-28 15:08:41.479
0EDveqCZ7ExWFkF0SE4NV7,Love Made Me Do It,196008,0,False,3NbqBIc16CNAe5nYSmHR3p,JAE5,09afloJIDVkuukH5f0Puo2,Love Made Me Do It,https://i.scdn.co/image/ab67616d00001e02529c54e9f6cb077177e333b1,2023-07-28 15:12:15.433
